City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,dzhambeyty,50.2536,52.595,6.810000000000002,73,100,9.23,KZ,1698612419
65,port-vila,-17.7338,168.3219,23.78000000000003,88,40,1.54,VU,1698612419
66,college,64.8569,-147.8028,2.1100000000000136,72,75,2.06,US,1698612419
67,lepsy,46.235,78.9456,12.090000000000032,88,100,2.23,KZ,1698612419
68,horsham,51.064,-0.3272,13.020000000000039,84,40,2.57,GB,1698612419
69,st. john's,47.5649,-52.7093,7.210000000000036,69,75,10.29,CA,1698612419
70,toliara,-23.35,43.6667,23.04000000000002,76,0,2.79,MG,1698612420
71,gadzhiyevo,69.2551,33.3362,-6.810000000000002,92,100,2.25,RU,1698612420
72,sao joao evangelista,-18.5478,-42.7633,25.140000000000043,69,91,2.0,BR,1698612420
73,da nang,16.0678,108.2208,25.99000000000001,94,75,0.51,VN,1698612420
74,oranjemund,-28.55,16.4333,19.610000000000014,38,0,5.55,NA,1698612420
75,den burg,53.0542,4.7972,12.990000000000009,75,20,10.8,NL,1698612421
76,ushuaia,-54.8,-68.3,1.8100000000000023,93,100,11.18,AR,1698612172
77,la'ie,21.6477,-157.9253,29.140000000000043,71,3,3.13,US,1698612421
78,juigne,47.7188,-0.3941,12.730000000000018,87,40,2.57,FR,1698612421
79,kimbe,-5.5502,150.1429,25.310000000000002,88,100,1.38,PG,1698612421
80,rawson,-43.3002,-65.1023,11.700000000000045,47,92,2.82,AR,1698612421
81,margaret river,-33.95,115.0667,12.54000000000002,63,86,5.29,AU,1698612422
82,savoy,45.5,6.4167,9.170000000000016,46,100,3.17,FR,1698612422
83,susuman,62.7833,148.1667,-17.789999999999964,99,96,0.45,RU,1698612422
84,keflavik,64.0049,-22.5624,4.240000000000009,75,0,2.06,IS,1698612422
85,ulanhot,46.0833,122.0833,4.32000000000005,37,20,3.82,CN,1698612423
86,sao tome,0.3365,6.7273,26.710000000000036,85,20,2.01,ST,1698612423
87,jamestown,42.097,-79.2353,8.900000000000034,95,100,4.12,US,1698612218
88,masterton,-40.9597,175.6575,15.490000000000009,59,97,5.06,NZ,1698612423
89,port-aux-francais,-49.35,70.2167,1.5900000000000318,81,100,11.91,TF,1698612409
90,halifax,44.6453,-63.5724,10.260000000000048,64,100,6.17,CA,1698612152
91,motueka,-41.1333,173.0167,15.610000000000014,47,100,1.27,NZ,1698612424
92,daru,-9.0763,143.2092,25.30000000000001,88,100,7.75,PG,1698612424
93,invercargill,-46.4,168.35,12.79000000000002,75,11,1.34,NZ,1698612425
94,kismayo,-0.3582,42.5454,26.720000000000027,80,43,4.94,SO,1698612425
